"Time"	fur	rcnR	metJ	metR	metA	metH
1000	1.0000000	0.7278306	0.4562734	0.7188655	0.7544944	0.0194315

0	1.0000000	0.7278304	0.4562909	0.7185472	0.7544754	0.0194200
50	0.5580262	0.7036423	0.4837571	0.6754358	0.7538779	0.1826591
100	0.2775115	0.5619352	0.6199949	0.6028777	0.7408754	0.3270065
150	0.1953964	0.3753914	0.7718405	0.5022640	0.7058326	0.4248895
200	0.1755337	0.2470186	0.8762165	0.3952913	0.6639114	0.5105040
250	0.1711232	0.1827186	0.9355944	0.3096301	0.6287862	0.5505378
300	0.1701888	0.1555906	0.9663089	0.2523354	0.6036574	0.5416534
350	0.1699964	0.1452591	0.9813288	0.2180307	0.5867934	0.5104260
400	0.1699575	0.1415736	0.9884103	0.1989143	0.5757722	0.4805827
450	0.1699498	0.1403152	0.9916656	0.1887780	0.5687425	0.4602719
500	0.1699482	0.1398981	0.9931348	0.1835960	0.5644080	0.4484992
550	0.6119217	0.2034349	0.9836767	0.2012518	0.5622930	0.2782462
600	0.8924364	0.4141663	0.8909000	0.2290869	0.5658515	0.1207284
650	0.9745515	0.5828007	0.7444968	0.2725153	0.5824640	0.0533958
700	0.9944141	0.6694875	0.6219806	0.3458729	0.6134802	0.0300077
750	0.9988247	0.7062488	0.5434046	0.4395823	0.6510795	0.0225868
800	0.9997591	0.7202717	0.4994985	0.5304972	0.6857264	0.0203437
850	0.9999515	0.7252797	0.4768848	0.6023809	0.7122421	0.0196851
900	0.9999903	0.7269917	0.4658309	0.6516027	0.7300929	0.0194952
950	0.9999981	0.7275597	0.4606160	0.6820519	0.7410741	0.0194412
1000	0.9999996	0.7277442	0.4582167	0.6995512	0.7474054	0.0194259

0	1.0000000	0.7278304	0.4562909	0.7185472	0.7544754	0.0194200
50	1.0000000	0.7278305	0.4562809	0.6419820	0.7705219	0.0194200
100	1.0000000	0.7278306	0.4562766	0.5529426	0.7855811	0.0194200
150	1.0000000	0.7278306	0.4562747	0.5014326	0.7927834	0.0194200
200	1.0000000	0.7278306	0.4562739	0.4767617	0.7956891	0.0194199
250	1.0000000	0.7278306	0.4562736	0.4659613	0.7967494	0.0194199
300	1.0000000	0.7278306	0.4562735	0.4614762	0.7971023	0.0194199
350	1.0000000	0.7278306	0.4562734	0.4596773	0.7972070	0.0194199
400	1.0000000	0.7278306	0.4562734	0.4589734	0.7972321	0.0194199
450	1.0000000	0.7278306	0.4562734	0.4587029	0.7972350	0.0194199
500	1.0000000	0.7278306	0.4562734	0.4586005	0.7972332	0.0194199
550	1.0000000	0.7278306	0.4562734	0.5353025	0.7812157	0.0194199
600	1.0000000	0.7278306	0.4562734	0.6244080	0.7664201	0.0194199
650	1.0000000	0.7278306	0.4562734	0.6759484	0.7594137	0.0194200
700	1.0000000	0.7278306	0.4562734	0.7006330	0.7565071	0.0194200
750	1.0000000	0.7278306	0.4562734	0.7114394	0.7553523	0.0194200
800	1.0000000	0.7278306	0.4562734	0.7159270	0.7549016	0.0194200
850	1.0000000	0.7278306	0.4562734	0.7177271	0.7547273	0.0194200
900	1.0000000	0.7278306	0.4562734	0.7184315	0.7546603	0.0194200
