"Time"	fur	rcnR	metJ	metR	metA	metH
1000	0.9022541	0.6947990	0.5458043	0.5932403	0.7000712	0.0237198

0	1.0085816	0.7329416	0.4497039	0.7656835	0.7524974	0.0283816
50	0.3580681	0.6720430	0.4673300	0.5695307	0.7066392	0.3620161
100	0.2358962	0.4570246	0.7660237	0.5593669	0.6699866	0.4051157
150	0.1494411	0.3070551	0.9535485	0.4580248	0.6430224	0.4829768
200	0.1833637	0.1703914	0.9534464	0.2940149	0.6441235	0.5578365
250	0.1779009	0.1292851	0.9761902	0.2481494	0.6045100	0.5397214
300	0.1314540	0.1647049	1.0540788	0.2210699	0.5618456	0.4781616
350	0.1287298	0.1329069	0.9944618	0.1900475	0.6020079	0.4608004
400	0.1609866	0.0910456	0.9381454	0.1991381	0.5833812	0.3883051
450	0.1614075	0.1126950	0.9463977	0.1890868	0.5674211	0.4467318
500	0.1649360	0.1178455	1.0111727	0.2104573	0.5669041	0.4918940
550	0.8845278	0.3501227	0.9097960	0.2514779	0.5862460	0.1309939
600	0.9908308	0.5591356	0.7148085	0.2939295	0.6939552	0.0405610
650	1.0297528	0.6483266	0.6181416	0.3482981	0.6295592	0.0310474
700	1.0186683	0.6779553	0.5503014	0.4647654	0.7323713	0.0320580
750	0.9637545	0.7168353	0.4933145	0.5428754	0.6665404	0.0176386
800	0.9467856	0.7166922	0.5039417	0.6412526	0.7782286	0.0245330
850	1.0095185	0.7953515	0.5034949	0.6731766	0.6634654	0.0165344
900	1.0828862	0.7983309	0.4418999	0.6677162	0.7947735	0.0277551
950	1.0642813	0.7575066	0.4082106	0.6299362	0.8440178	0.0238965
1000	0.9867124	0.7722705	0.4650747	0.6620756	0.7663660	0.0272035

0	1.0085816	0.7329416	0.4497039	0.7656835	0.7524974	0.0283816
50	1.0592390	0.7733203	0.4841458	0.5319830	0.8255979	0.0125334
100	1.0288037	0.8028919	0.4588909	0.5741911	0.8532659	0.0286429
150	1.0069890	0.7732607	0.4666492	0.4803238	0.7384301	0.0348965
200	0.8787337	0.7086316	0.4317072	0.5200172	0.8058535	0.0201065
250	1.0098659	0.6761009	0.5109470	0.5492616	0.7923136	0.0150912
300	1.0243090	0.6981287	0.4509891	0.4831860	0.7093055	0.0193379
350	0.9754673	0.6676305	0.4593867	0.4483894	0.8454144	0.0314676
400	0.9385516	0.7222820	0.4914072	0.4504265	0.8380402	0.0169163
450	0.9639041	0.7712955	0.5443769	0.4381262	0.7625276	0.0132964
500	1.1263952	0.7982175	0.5170555	0.3754691	0.6976420	0.0255667
550	1.0011506	0.6821137	0.4357995	0.5616368	0.7600121	0.0178045
600	1.1340290	0.7124043	0.4851604	0.6984963	0.7756208	0.0249558
650	1.0564017	0.6752023	0.4002695	0.6926575	0.7269527	0.0163232
700	1.0189288	0.8139107	0.4098790	0.7566332	0.7167171	0.0139081
750	0.9715154	0.7336283	0.3428576	0.7613833	0.7911871	0.0132604
800	1.0218490	0.7124134	0.4527416	0.7765059	0.7688157	0.0164968
850	1.0534627	0.6533089	0.5137900	0.6780460	0.7118682	0.0227354
900	1.0295150	0.7013218	0.4833975	0.6724613	0.6883309	0.0233259
950	1.0194826	0.7304205	0.4530365	0.6455519	0.7203019	0.0237678
1000	0.9895285	0.7393503	0.4485817	0.7005763	0.7243197	0.0290469

0	1.0085816	0.7329416	0.4497039	0.7656835	0.7524974	0.0283816
50	0.7782184	0.6971848	0.1797220	0.5114663	0.5128979	0.0183955
100	0.5879150	0.6402046	0.1383871	0.3638165	0.4882723	0.0218471
150	0.5896531	0.5885298	0.0945646	0.3823482	0.6111749	0.0192083
200	0.6655757	0.5370846	0.1094000	0.3722112	0.5841716	0.0197447
250	0.6196472	0.5710219	0.0919186	0.3935409	0.5292119	0.0294040
300	0.6574752	0.5765137	0.0993384	0.3586009	0.6610663	0.0271058
350	0.7087844	0.5241393	0.0976144	0.3710732	0.6487583	0.0256860
