"Time"	fur	rcnR	metJ	metR	metA	metH
1000	0.7008810	0.6011691	0.4998318	0.4460762	0.6605257	0.0394893

0	0.7701072	0.4817243	0.3142168	0.5687687	0.6429754	0.0120591
50	0.5850923	0.6296842	0.3358897	0.5226305	0.5841760	0.1594901
100	0.2349154	0.5190799	0.5391427	0.4901092	0.4566792	0.3457698
150	0.1447116	0.4119167	0.6536213	0.3973826	0.4923741	0.3021743
200	0.1511738	0.2048434	0.6360078	0.3690415	0.4953464	0.4427138
250	0.1105095	0.2181960	0.7944622	0.2751378	0.4426326	0.4519245
300	0.1208674	0.1830451	0.6827920	0.1577609	0.3791034	0.3932502
350	0.1369267	0.1089352	0.8357000	0.2084189	0.4815176	0.3621575
400	0.0907862	0.0744195	0.6851569	0.1972229	0.4508548	0.4364768
450	0.1048682	0.0864133	0.5717427	0.2100401	0.4614730	0.4035321
500	0.1505929	0.0671546	0.7975189	0.1830416	0.5548781	0.4500280
550	0.5830227	0.0750654	0.7666125	0.2029182	0.4912602	0.2331462
600	0.7181016	0.2554598	0.5830695	0.2115913	0.4492655	0.1149476
650	0.7263124	0.4793836	0.5684965	0.2481849	0.5712642	0.0818105
700	0.8699113	0.5520338	0.5418270	0.3075540	0.4150034	0.0046217
750	0.6457665	0.6051585	0.3719082	0.3445061	0.5502380	0.0109881
800	0.6982618	0.6204469	0.3854343	0.4443850	0.6300113	0.0096528
850	0.8713607	0.6496373	0.3424167	0.4285375	0.5326645	0.0277719
900	0.9082198	0.5563977	0.3990780	0.5162300	0.6176503	0.0242894
950	0.8146102	0.5214026	0.3621155	0.4790610	0.5878784	0.0141725
1000	0.7378301	0.5681422	0.3265132	0.5046035	0.7321896	0.0090638

0	0.7053798	0.4321353	0.3631863	0.6242383	0.5618232	0.0288756
50	0.9351260	0.4772117	0.3515069	0.5441604	0.6071601	0.0064689
100	0.8574632	0.7445837	0.3446409	0.4897619	0.6196147	0.0176087
150	0.8876325	0.6034180	0.3392124	0.3938058	0.6869291	0.0391176
200	0.8793974	0.5997304	0.3510382	0.4423530	0.6135328	0.0165689
250	0.8088767	0.5333843	0.3731352	0.3943398	0.5704832	0.0168484
300	0.7067897	0.6082191	0.3250816	0.4612777	0.5081483	0.0499281
350	0.6549212	0.4545868	0.3058509	0.3657214	0.4886003	0.0253970
400	0.8394997	0.5066847	0.4618112	0.4572264	0.6545098	0.0135050
450	0.8008236	0.5450084	0.5533976	0.3601969	0.7494401	0.0199360
500	0.8707456	0.5730993	0.3529186	0.4030764	0.5580296	0.0171691
550	1.1015260	0.5478384	0.3386122	0.3840696	0.5298172	0.0095004
