"Time"	fur	rcnR	metJ	metR	metA	metH
1000	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194201

0	1.0000000	0.7278306	0.4562764	0.7187771	0.7546005	0.0194200
50	0.3305519	0.6388361	0.5660230	0.6181722	0.7501019	0.3303306
100	0.2010226	0.4008019	0.7797501	0.5228652	0.7114508	0.4101445
150	0.1759604	0.2346972	0.8996873	0.4009918	0.6569521	0.4995174
200	0.1711112	0.1683643	0.9537132	0.3037545	0.6172594	0.5629560
250	0.1701730	0.1475037	0.9770603	0.2439486	0.5935656	0.5602669
300	0.1699914	0.1416909	0.9870104	0.2112922	0.5795447	0.5220543
350	0.1699563	0.1401855	0.9912242	0.1945107	0.5708774	0.4846277
400	0.1699495	0.1398143	0.9930033	0.1861959	0.5654910	0.4608402
450	0.1699482	0.1397259	0.9937533	0.1821802	0.5622937	0.4481636
500	0.1699479	0.1397054	0.9940693	0.1802791	0.5605149	0.4418531
550	0.8393960	0.3464669	0.9453611	0.2253256	0.5618822	0.1166439
600	0.9689253	0.5933723	0.7575078	0.2585906	0.5763713	0.0389910
650	0.9939875	0.6882878	0.6054494	0.3258419	0.6112010	0.0233227
700	0.9988367	0.7171531	0.5240133	0.4262104	0.6557429	0.0201983
750	0.9997749	0.7251048	0.4858453	0.5282455	0.6949742	0.0195754
800	0.9999564	0.7271628	0.4689417	0.6070590	0.7220565	0.0194510
850	0.9999916	0.7276721	0.4616512	0.6580278	0.7380268	0.0194262
900	0.9999984	0.7277939	0.4585463	0.6874846	0.7465475	0.0194212
950	0.9999997	0.7278223	0.4572321	0.7033001	0.7508133	0.0194202
1000	0.9999999	0.7278287	0.4566773	0.7113701	0.7528629	0.0194200

0	1.0000000	0.7278306	0.4562764	0.7187771	0.7546005	0.0194200
50	1.0000000	0.7278306	0.4562746	0.5466855	0.7932201	0.0194200
100	1.0000000	0.7278306	0.4562739	0.4883953	0.7979879	0.0194200
150	1.0000000	0.7278306	0.4562736	0.4686518	0.7980623	0.0194199
200	1.0000000	0.7278306	0.4562735	0.4619646	0.7976907	0.0194199
250	1.0000000	0.7278306	0.4562734	0.4596996	0.7974423	0.0194199
300	1.0000000	0.7278306	0.4562734	0.4589325	0.7973193	0.0194199
350	1.0000000	0.7278306	0.4562734	0.4586727	0.7972652	0.0194199
400	1.0000000	0.7278306	0.4562734	0.4585847	0.7972429	0.0194199
450	1.0000000	0.7278306	0.4562734	0.4585549	0.7972341	0.0194199
500	1.0000000	0.7278306	0.4562734	0.4585448	0.7972306	0.0194199
550	1.0000000	0.7278306	0.4562734	0.6306856	0.7586944	0.0194199
600	1.0000000	0.7278306	0.4562734	0.6889959	0.7543509	0.0194200
650	1.0000000	0.7278306	0.4562734	0.7087476	0.7542377	0.0194200
700	1.0000000	0.7278306	0.4562734	0.7154382	0.7544257	0.0194200
750	1.0000000	0.7278306	0.4562734	0.7177046	0.7545355	0.0194200
800	1.0000000	0.7278306	0.4562734	0.7184723	0.7545848	0.0194200
850	1.0000000	0.7278306	0.4562734	0.7187323	0.7546052	0.0194200
900	1.0000000	0.7278306	0.4562734	0.7188204	0.7546134	0.0194200
950	1.0000000	0.7278306	0.4562734	0.7188503	0.7546166	0.0194200
1000	1.0000000	0.7278306	0.4562734	0.7188604	0.7546178	0.0194200

0	1.0000000	0.7278306	0.4562764	0.7187771	0.7546005	0.0194200
50	0.7212382	0.6972656	0.2409851	0.4317301	0.4752234	0.0197097
100	0.6673015	0.6353563	0.1644056	0.3652985	0.4904120	0.0206127
150	0.6568654	0.5979688	0.1377704	0.3590005	0.5339288	0.0213768
200	0.6548462	0.5834232	0.1280214	0.3625012	0.5622509	0.0217267
250	0.6544555	0.5788466	0.1242542	0.3656163	0.5767701	0.0218446
300	0.6543799	0.5775677	0.1227412	0.3673939	0.5836094	0.0218786
350	0.6543653	0.5772357	0.1221195	0.3682870	0.5867182	0.0218876
400	0.6543624	0.5771538	0.1218608	0.3687113	0.5881061	0.0218899
450	0.6543619	0.5771342	0.1217526	0.3689068	0.5887189	0.0218905
500	0.6543618	0.5771297	0.1217071	0.3689952	0.5889873	0.0218906
