"Time"	fur	rcnR	metJ	metR	metA	metH
1000	0.7173766	0.4805756	0.3913775	0.4279137	0.5486804	0.0132199

0	0.8116887	0.6111609	0.3567784	0.6798972	0.5846305	0.0257834
50	0.2127343	0.5889542	0.3261844	0.3466188	0.4460781	0.2155491
100	0.1744989	0.3756065	0.6626273	0.4817452	0.4489107	0.2942958
150	0.1169784	0.1949406	0.8239901	0.4010651	0.5411094	0.3971491
200	0.1605219	0.1167828	0.7547978	0.2294905	0.7178900	0.4007235
250	0.1292627	0.0854893	0.8302375	0.2309423	0.4557296	0.3596821
300	0.0845475	0.1042595	0.7420562	0.1346156	0.4107921	0.4215952
350	0.1079394	0.0833145	0.9171287	0.1257319	0.5077626	0.2559179
400	0.1438667	0.0826156	0.6615407	0.1639136	0.4537972	0.3424651
450	0.1235420	0.0774853	0.8280728	0.2020557	0.4139616	0.3862324
500	0.1594939	0.0829138	0.7205282	0.1913729	0.4408744	0.4006684
550	0.6702895	0.3333585	0.8286810	0.1654088	0.4217884	0.0823268
600	0.8945128	0.3877177	0.5265958	0.2341317	0.4973318	0.0329234
650	0.7655379	0.5281975	0.4287171	0.2877533	0.4881118	0.0259292
700	0.7140367	0.4655872	0.4296039	0.3777323	0.5888405	0.0252838
750	0.7283398	0.5816065	0.3790894	0.4942703	0.4817083	0.0299497
800	0.7517724	0.5418243	0.4268649	0.4738233	0.6065075	0.0160781
850	0.7744820	0.6134868	0.4289320	0.5690727	0.5286532	0.0089115
900	0.8583910	0.6018117	0.3739321	0.4275035	0.6685641	0.0133184
950	0.8483892	0.5149674	0.3036440	0.5762956	0.6767766	0.0238808
1000	0.8839415	0.6431072	0.3122682	0.5517771	0.6125982	0.0343707

0	0.7691534	0.5342946	0.4291200	0.5120126	0.5138253	0.0155965
50	0.9286673	0.6291249	0.3995027	0.3397794	0.6987421	0.0184692
100	0.7308588	0.6294921	0.3296749	0.4321298	0.7216908	0.0132378
150	0.7151332	0.7601503	0.3774412	0.3254938	0.5651595	0.0159849
200	0.6140590	0.6403217	0.3604273	0.4368773	0.5904210	0.0103514
250	0.7360758	0.5515235	0.4069042	0.4422781	0.6258045	0.0115328
300	0.6999599	0.4644181	0.3916583	0.3774527	0.6386884	0.0249279
350	0.8580628	0.5393453	0.2739307	0.3332116	0.6678073	0.0178212
400	0.9199262	0.6719467	0.3742399	0.3205812	0.5804964	0.0183087
450	0.6637648	0.5723468	0.3769620	0.3431467	0.5381572	0.0086784
500	1.0000000	0.6371616	0.3785453	0.3002405	0.5239774	0.0504390
550	0.7506391	0.5928649	0.3950189	0.4525879	0.5225994	0.0080149
600	0.8850513	0.5134627	0.3314722	0.5042341	0.6617701	0.0198309
650	0.8016298	0.5182413	0.2692174	0.5447024	0.5405579	0.0240261
700	0.7304246	0.7091906	0.3497263	0.4732552	0.5211627	0.0117041
750	0.8102672	0.6178088	0.2390615	0.5895126	0.6665586	0.0073549
800	0.9192975	0.5105104	0.3402299	0.5973700	0.6706894	0.0134175
850	0.8109188	0.5116032	0.4129502	0.5255014	0.6362407	0.0320411
900	0.8573457	0.5363780	0.3527423	0.5672001	0.5431755	0.0103980
950	0.8952833	0.5311505	0.3116012	0.5007166	0.5229628	0.0100579
1000	0.8156492	0.6004879	0.3796285	0.5592450	0.6032970	0.0244325

0	0.6519541	0.5101552	0.3195399	0.5666558	0.6019899	0.0258691
50	0.5516331	0.6075375	0.2184441	0.4001791	0.3298968	0.0093745
100	0.4949876	0.5496655	0.1158806	0.2281150	0.3609860	0.0128860
150	0.4788669	0.4036057	0.0681427	0.2872925	0.5273373	0.0396508
200	0.5689024	0.3756243	0.0944532	0.2859573	0.4174417	0.0401870
250	0.5136609	0.4676760	0.0627296	0.3381280	0.4503204	0.0306552
300	0.4809926	0.5355492	0.0753071	0.2392913	0.5875392	0.0320158
350	0.4488761	0.4054244	0.0817037	0.3083556	0.5251826	0.0408802
400	0.5326504	0.4673046	0.0838104	0.2534576	0.5127975	0.0592564
450	0.5621886	0.4238403	0.0586128	0.2742337	0.4339191	0.0187700
500	0.6027409	0.3472893	0.0628638	0.3315420	0.3783256	0.0146729
550	0.7189972	0.4372177	0.4377250	0.5166211	0.6408320	0.0105177
600	0.6715108	0.6466188	0.2822515	0.6755262	0.6287122	0.0136960
650	0.7926657	0.6222916	0.3780656	0.6698569	0.6899013	0.0077682
700	0.9176600	0.5538475	0.2509575	0.7012468	0.4842475	0.0182001
750	0.9010611	0.5022082	0.3828449	0.5908785	0.5556112	0.0079260
800	0.6746808	0.4751264	0.3020673	0.5931551	0.6017542	0.0194788
850	0.7042103	0.6115255	0.3174261	0.6741484	0.5684232	0.0211805
900	0.7993757	0.5592653	0.2839171	0.6201623	0.6213166	0.0112517
950	0.7360305	0.4959061	0.2572724	0.6075360	0.6182533	0.0058252
1000	0.8610605	0.6358533	0.3351376	0.7202238	0.5561148	0.0174332

0	0.8234735	0.5986310	0.4056648	0.6139451	0.5789139	0.0427245
50	0.8756399	0.7445021	0.2715430	0.5970393	0.6587357	0.0066086
100	0.9017858	0.6674779	0.2509980	0.6529370	0.6203522	0.0118575
150	0.8782048	0.6989999	0.2870570	0.5952628	0.5763165	0.0158582
200	0.9142507	0.6460759	0.3031330	0.6007298	0.7306495	0.0184333
250	0.8143853	0.6627054	0.3370524	0.5529123	0.6481743	0.0051689
300	0.6576701	0.7520945	0.3919283	0.6427238	0.5866131	0.0208470
350	0.7546176	0.6136349	0.3952881	0.5409452	0.5994201	0.0301773
400	0.7531032	0.7485655	0.4045093	0.6080047	0.4686158	0.0117251
450	0.8119843	0.8920211	0.4563149	0.4071907	0.6014954	0.0233234
500	0.6661066	0.7161912	0.3212544	0.4778405	0.5724224	0.0325699
550	0.6637543	0.6568796	0.3124902	0.6284474	0.7652490	0.0357341
