ENSP	VNG-ORF
TFB7_HALN1	VNG0254G
Q9HSF6	VNG0255C
Q9HSF5	VNG0256H
Q9HSF4	VNG0258H
IPYR_HALN1	VNG0259G
Q9HSF2	VNG0261H
Q9HSF1	VNG0262C
Q9HSF0	VNG0264H
Q9HSE9	VNG0265G
Q9HSE8	VNG0266H
Q9HSE7	VNG0267H
Q9HSE6	VNG0268C
Q9HSE5	VNG0270C
Q9HSE4	VNG0271C
Q9HSE3	VNG0272H
Q9HSE2	VNG0274C
Q9HSE1	VNG0277G
Q9HSE0	VNG0280H
Q9HSD9	VNG0281G
Q9HSD7	VNG0282H
Q9HSD8	VNG0283C
Q9HSD6	VNG0284C
Q9HSD5	VNG0285C
Q9HSD4	VNG0286C
Q9HSD3	VNG0287H
Q9HSD2	VNG0289H
Q9HSD1	VNG0291H
Q9HSD0	VNG0293H
Q9HSC9	VNG0294G
Q9HSC8	VNG0296H
Q9HSC7	VNG0297H
Q9HSC6	VNG0298H
Q9HSC5	VNG0300C
NADM_HALN1	VNG0301C
LONH_HALN1	VNG0303G
TRPC_HALN1	VNG0305G
Q9HSC2	VNG0306C
TRPB_HALN1	VNG0307G
TRPA_HALN1	VNG0308G
Y309_HALN1	VNG0309C
Y310_HALN1	VNG0310C
Q9HSB7	VNG0311H
Q9HSB5	VNG0312H
AROD_HALN1	VNG0314G
TFB6_HALN1	VNG0315G
Q9HSB2	VNG0316C
Q9HSB1	VNG0318G
Q9HSB0	VNG0319H
Q9HSA9	VNG0320H
Q9HSA8	VNG0321G
Q9HSA7	VNG0322H
Q9HSA6	VNG0323H
Q9HSA5	VNG0324G
SYM_HALN1	VNG0326G
Q9HSA3	VNG0327G
Q9HSA2	VNG0329G
Q9HSA1	VNG0330G
Q9HSA0	VNG0331H
Q9HS99	VNG0332C
Q9HS98	VNG0335G
Q9HS97	VNG0339H
Q9HS96	VNG0340C
Q9HS95	VNG0342G
Q9HS94	VNG0343H
GATB_HALN1	VNG0345G
Q9HS92	VNG0346H
Q9HS91	VNG0347H
Q9HS90	VNG0349G
Q9HS89	VNG0351C
Q9HS88	VNG0352H
Q9HS87	VNG0354C
Q9HS86	VNG0355G
Q9HS85	VNG0357H
Q9HS84	VNG0359C
Q9HS83	VNG0360C
Q9HS82	VNG0361C
Q9HS81	VNG0363G
Q9HS80	VNG0364G
Q9HS79	VNG0365G
Q9HS78	VNG0367H
Q9HS77	VNG0368C
Q9HS76	VNG0370H
Q9HS75	VNG0371G
Q9HS74	VNG0373H
Q9HS73	VNG0374G
SECE_HALN1	VNG0375G
Q9HS71	VNG0376G
Y378_HALN1	VNG0378C
Q9HS69	VNG0380G
AROE_HALN1	VNG0382G
Q9HS67	VNG0383H
Q9HS66	VNG0384G
Q9HS65	VNG0386G
Q9HS64	VNG0387G
Q9HS63	VNG0388C
Q9HS62	VNG0389C
Q9HS61	VNG0390G
Q9HS60	VNG0391C
Q9HS59	VNG0393C
Q9HS58	VNG0394C
Q9HS57	VNG0396C
Q9HS56	VNG0398G
Q9HS55	VNG0399H
Q9HS54	VNG0401G
Q9HS53	VNG0402H
Q9HS52	VNG0403G
Q9HS51	VNG0404H
Q9HS50	VNG0405C
EGSA_HALN1	VNG0406C
Q9HS48	VNG0407H
Q9HS47	VNG0408H
Q9HS46	VNG0409C
Q9HS45	VNG0410G
Q9HS44	VNG0412G
Q9HS43	VNG0414G
Q9HS42	VNG0415G
Q9HS41	VNG0417H
Q9HS40	VNG0419C
